,id_reserva,nombre,apellido,mail,competencia,fecha_reserva,inicio_estancia,final_estancia,id_hotel,nombre_hotel,valoración,nombre_ciudad,precio_noche,id_cliente,id_ciudad
0,40c4cb55-d1f5-407b-832f-4756b8ff77b4,Maite,Calatayud,maite.calatayud@example.com,False,2025-02-09,2025-03-01,2025-03-02,0,Hotel Monte Verde,1.0,Madrid,276.61238095238093,cliente1,1
1,f2ce8df5-7844-43e1-8c0f-97ce7a208f21,Tecla,Bonet,tecla.bonet@example.com,False,2025-02-08,2025-03-01,2025-03-02,1,Hotel Brisas del Mar,5.0,Madrid,275.2259210526316,cliente2,1
2,57d4515a-447d-4067-afcb-9bdcf4e4e915,Amílcar,Andrés,amílcar.andrés@example.com,False,2025-02-02,2025-03-01,2025-03-02,2,Hotel Camino del Sol,1.0,Madrid,269.99844357976656,cliente3,1
3,ccbd9fe9-5a60-4f6f-bed3-73a7158ecba7,Joan,Vazquez,joan.vazquez@example.com,False,2025-02-08,2025-03-01,2025-03-02,3,Hotel Puerta del Cielo,5.0,Madrid,280.15124282982794,cliente4,1
4,99c3dc4f-663c-45f7-849a-ac9313f3746a,Chelo,Flor,chelo.flor@example.com,False,2025-02-09,2025-03-01,2025-03-02,4,Hotel Encanto Real,1.0,Madrid,278.24399606299215,cliente5,1
5,a5da0906-0fe5-4c30-b193-863df67a7b84,Dolores,Lobo,dolores.lobo@example.com,False,2025-02-10,2025-03-01,2025-03-02,5,Palacio del Sol,4.0,Madrid,282.4921499013806,cliente6,1
6,3eca014e-f122-41d7-9dd3-b984b9153d57,Noé,Lobo,noé.lobo@example.com,False,2025-02-02,2025-03-01,2025-03-02,6,Hotel Jardines del Rey,3.0,Madrid,272.4023353293413,cliente7,1
7,8a68fb77-8798-4902-a92d-642ea5e47083,Omar,Lamas,omar.lamas@example.com,False,2025-02-10,2025-03-01,2025-03-02,7,Hotel Las Estrellas,4.0,Madrid,271.7063529411765,cliente8,1
8,5e3de36b-3d2f-4cef-98d3-df826c56a4b1,Ágata,Pinedo,ágata.pinedo@example.com,False,2025-02-01,2025-03-01,2025-03-02,8,Gran Hotel Madrid,2.0,Madrid,264.9671650485437,cliente9,1
9,2a39eb83-b3aa-4df0-93b3-1fdc0b0a9609,Julie,Baños,julie.baños@example.com,False,2025-02-01,2025-03-01,2025-03-02,9,Hotel Torre Dorada,3.0,Madrid,272.7331755424063,cliente10,1
10,96a3727c-99fb-4ae0-a6c3-886504499ec2,Javier,Mancebo,javier.mancebo@example.com,False,2025-02-12,2025-03-01,2025-03-02,10,Hotel Palacio Imperial,2.0,Madrid,272.24151515151516,cliente11,1
11,18fa5887-c155-4064-ba8d-3b2948dd348b,Rita,Guerrero,rita.guerrero@example.com,False,2025-02-11,2025-03-01,2025-03-02,2,Hotel Camino del Sol,3.0,Madrid,269.99844357976656,cliente12,1
12,9880f3ea-a29d-4acd-9fe1-96df1ffa46bd,Ricardo,Lobo,ricardo.lobo@example.com,False,2025-02-06,2025-03-01,2025-03-02,11,Hotel Luz de Madrid,3.0,Madrid,269.9356074766355,cliente13,1
13,22a3608a-1de2-40c7-8e2a-d22daf77390f,Perlita,Patiño,perlita.patiño@example.com,False,2025-02-02,2025-03-01,2025-03-02,4,Hotel Encanto Real,1.0,Madrid,278.24399606299215,cliente14,1
14,68b36da9-eeaa-4c31-91a8-d34fcc3956c8,Pedro,Gallego,pedro.gallego@example.com,False,2025-02-09,2025-03-01,2025-03-02,12,Hotel Los Almendros,5.0,Madrid,273.7629755178908,cliente15,1
15,b92dbe7c-4660-4e4c-9224-47cae0152bf9,Judith,Bellido,judith.bellido@example.com,False,2025-02-08,2025-03-01,2025-03-02,10,Hotel Palacio Imperial,5.0,Madrid,272.24151515151516,cliente16,1
16,9b16fc42-a7c6-4db9-98c7-30dbf2bb72b3,Francisco Javier,Hierro,francisco javier.hierro@example.com,False,2025-02-02,2025-03-01,2025-03-02,13,Hotel Sol y Luna,1.0,Madrid,267.93135869565214,cliente17,1
17,65fcc15f-f4c6-492a-b191-f180ae314bea,Reynaldo,Lerma,reynaldo.lerma@example.com,False,2025-02-12,2025-03-01,2025-03-02,0,Hotel Monte Verde,1.0,Madrid,276.61238095238093,cliente18,1
18,8a5b02f8-caa9-4917-a50d-a122c74a5c6d,Felicidad,Gimenez,felicidad.gimenez@example.com,False,2025-02-09,2025-03-01,2025-03-02,14,Hotel Mirador Real,5.0,Madrid,273.2852741020794,cliente19,1
19,24f9a853-2cef-4fb7-8182-d4f347c772d7,Pía,Barba,pía.barba@example.com,False,2025-02-03,2025-03-01,2025-03-02,3,Hotel Puerta del Cielo,5.0,Madrid,280.15124282982794,cliente20,1
20,345b493b-5fcb-476c-940b-cce20444d64e,Amílcar,Moles,amílcar.moles@example.com,False,2025-02-05,2025-03-01,2025-03-02,7,Hotel Las Estrellas,5.0,Madrid,271.7063529411765,cliente21,1
21,e9fc009e-6bbd-49a9-aaa1-499fbe5b7036,Blas,Galván,blas.galván@example.com,False,2025-02-11,2025-03-01,2025-03-02,0,Hotel Monte Verde,4.0,Madrid,276.61238095238093,cliente22,1
22,91569bdd-8430-4537-8245-6ca66e5c95ed,Claudia,Miranda,claudia.miranda@example.com,False,2025-02-03,2025-03-01,2025-03-02,3,Hotel Puerta del Cielo,2.0,Madrid,280.15124282982794,cliente23,1
23,2713abaf-e02b-4e4b-9897-a6b9cd4862b5,Fernanda,Segarra,fernanda.segarra@example.com,False,2025-02-02,2025-03-01,2025-03-02,15,Hotel Rincón Sereno,1.0,Madrid,277.31882352941176,cliente24,1
24,56aa252f-8c76-4712-a8d8-cfa844b5711a,Emilio,Huerta,emilio.huerta@example.com,False,2025-02-09,2025-03-01,2025-03-02,16,Hotel Vista Alegre,4.0,Madrid,279.80214145383104,cliente25,1
